Bo'lim,Yaponcha,O'qilishi (kana),Romaji,O'zbekcha tarjima,English (manba),Misol gap
第10課 旅行に行って,逃げる,にげる,nigeru,qochmoq,"run away, escape",毎日しっかりと逃げるように努力しています。 (Har kuni astoydil qochmoqga intilaman.)
第10課 旅行に行って,造る,つくる,tsukuru,"yasamoq, bunyod etmoq, qurmoq","create, build",毎日しっかりと造るように努力しています。 (Har kuni astoydil yasamoqga intilaman.)
第10課 旅行に行って,違う,ちがう,chigau,"farq qilmoq, boshqacha bo'lmoq","differ from, be different",毎日しっかりと違うように努力しています。 (Har kuni astoydil farq qilmoqga intilaman.)
第10課 旅行に行って,遠く,とおく,tooku,"uzoq, uzoqda",far away,毎日しっかりと遠くように努力しています。 (Har kuni astoydil uzoqga intilaman.)
第10課 旅行に行って,配る / ぶつかる,くばる / ぶつかる,kubaru / butsukaru,tarqatmoq / urilib ketmoq,"distribute hit, run against",毎日しっかりと配る / ぶつかるように努力しています。 (Har kuni astoydil tarqatmoq / urilib ketmoqga intilaman.)
第10課 旅行に行って,鉛筆,えんぴつ,enpitsu,qalam,pencil,鉛筆の大切さを改めて実感しました。 (qalamning muhimligini yana bir bor his qildim.)
第10課 旅行に行って,鏡,かがみ,kagami,"ko'zgu, oyna",mirror,鏡の大切さを改めて実感しました。 (ko'zguning muhimligini yana bir bor his qildim.)
第10課 旅行に行って,開く,ひらく,hiraku,"ochmoq, (tadbir) o'tkazmoq","open, hold",毎日しっかりと開くように努力しています。 (Har kuni astoydil ochmoqga intilaman.)
第10課 旅行に行って,頼む,たのむ,tanomu,"iltimos qilmoq, so'ramoq","ask, request",毎日しっかりと頼むように努力しています。 (Har kuni astoydil iltimos qilmoqga intilaman.)
第10課 旅行に行って,駅員さんのところ,えきいんさんのところ,ekiinsannotokoro,bekat xodimining oldi/joyi,location of station employee,駅員さんのところの場所を地図で調べました。 (bekat xodimining oldi/joyining manzilini xaritadan qidirdim.)
第10課 旅行に行って,麦,むぎ,mugi,"bug'doy, arpa","wheat, barley, flour",麦の大切さを改めて実感しました。 (bug'doyning muhimligini yana bir bor his qildim.)
第10課 旅行に行って,～によって,～によって,~niyotte,~ ga ko'ra; ~ tufayli,due to ~,によっての大切さを改めて実感しました。 (~ ga ko'raning muhimligini yana bir bor his qildim.)
第10課 旅行に行って,～中（例：世界中）,～じゅう（れい：せかいじゅう）,~juu (rei: sekaijuu),butun ~ (masalan: butun dunyoda),"all over ~, throughout ~ (example: all over the world)",世界中を確認しました。 (世界中ni tekshirib tasdiqladim.)
第10課 旅行に行って,～時代（例：江戸時）,～じだい（れい：えどじだい）,~jidai (rei: edojidai),~ davri (masalan: Edo davri),~ period (example: Edo period),江戸時を確認しました。 (江戸時ni tekshirib tasdiqladim.)
第11課 地域社会の中で,あきらめる,あきらめる,akirameru,"umidsizlikka tushmoq, voz kechmoq",give up,毎日しっかりとあきらめるように努力しています。 (Har kuni astoydil umidsizlikka tushmoqga intilaman.)
第11課 地域社会の中で,あんまり,あんまり,anmari,unchalik emas,"not much, not very",あんまりの大切さを改めて実感しました。 (unchalik emasning muhimligini yana bir bor his qildim.)
第11課 地域社会の中で,おじさん,おじさん,ojisan',"amaki, aka (o'rta yoshli erkak)","uncle, mister (polite term used to refer to middle-aged men)",おじさんの大切さを改めて実感しました。 (amakining muhimligini yana bir bor his qildim.)
第11課 地域社会の中で,お帰りなさい,おかえりなさい,okaerinasai,Uyga xush kelibsiz (kelganni kutib olish),"""Welcome home.""","とてもお帰りなさいので、気をつけてください。 (Juda Uyga xush kelibsiz bo'lgani uchun, ehtiyot bo'ling.)"
第11課 地域社会の中で,こと（例：将来のこと）,こと（れい：しょうらいのこと）,kotorei：shourainokoto,~ haqida (masalan: kelajak haqida),"matters about ~, things about ~ (example: things",将来のことを確認しました。 (将来のことni tekshirib tasdiqladim.)
第11課 地域社会の中で,だいたい,だいたい,daitai,"asosan, ko'p hollarda",most of the time,"とてもだいたいので、気をつけてください。 (Juda asosan bo'lgani uchun, ehtiyot bo'ling.)"
第11課 地域社会の中で,よし,よし,yoshi,"yaxshi, qani","good, come on",よしの大切さを改めて実感しました。 (yaxshining muhimligini yana bir bor his qildim.)
第11課 地域社会の中で,ダイエット・する,ダイエット・する,daietto-suru,"parhez tutmoq, ozish",diet,計画通りにダイエットを行いました。 (Rejaga muvofiq parhez tutmoqni amalga oshirdik.)
第11課 地域社会の中で,チーム,チーム,chiimu,jamoa,team,チームの大切さを改めて実感しました。 (jamoaning muhimligini yana bir bor his qildim.)
第11課 地域社会の中で,ボランティア,ボランティア,borantia,ko'ngilli,volunteer,ボランティアの大切さを改めて実感しました。 (ko'ngillining muhimligini yana bir bor his qildim.)
第11課 地域社会の中で,今夜,こんや,kon'ya,bugun kechqurun,tonight,今夜の大切さを改めて実感しました。 (bugun kechqurunning muhimligini yana bir bor his qildim.)
第11課 地域社会の中で,何度も,なんども,nandomo,"ko'p marta, qayta-qayta","over and over again, many times",何度もの大切さを改めて実感しました。 (ko'p martaning muhimligini yana bir bor his qildim.)
第11課 地域社会の中で,八百屋,やおや,yaoya,sabzavot do'koni,"vegetable vendor, green grocery",八百屋の場所を地図で調べました。 (sabzavot do'konining manzilini xaritadan qidirdim.)
第11課 地域社会の中で,具合,ぐあい,guai,"holat, ahvol; sog'liq","condition, health",具合の大切さを改めて実感しました。 (holatning muhimligini yana bir bor his qildim.)
第11課 地域社会の中で,出張・する,しゅっちょう・する,shutchou-suru,xizmat safariga bormoq,go on a business trip,計画通りに出張を行いました。 (Rejaga muvofiq xizmat safariga bormoqni amalga oshirdik.)
第11課 地域社会の中で,区役所,くやくしょ,kuyakusho,tuman hokimiyati,ward office,区役所で手続きをしました。 (Tuman hokimiyatida rasmiylashtirish ishlarini bajardim.)
第11課 地域社会の中で,回る,まわる,mawaru,"aylanmoq, aylanib chiqmoq",go around,毎日しっかりと回るように努力しています。 (Har kuni astoydil aylanmoqga intilaman.)
第11課 地域社会の中で,地域,ちいき,chiiki,"hudud, mintaqa","area, region",地域の大切さを改めて実感しました。 (hududning muhimligini yana bir bor his qildim.)
第11課 地域社会の中で,外食・する,がいしょく・する,gaishoku-suru,tashqarida ovqatlanmoq,"dine out, eat out",新鮮な外食を美味しくいただきました。 (Yangi tashqarida ovqatlanmoqni mazza qilib tanovul qildik.)
第11課 地域社会の中で,太る,ふとる,futoru,"semirmoq, vazn olmoq","gain weight, get fat",毎日しっかりと太るように努力しています。 (Har kuni astoydil semirmoqga intilaman.)
第11課 地域社会の中で,学ぶ,まなぶ,manabu,"o'rganmoq, bilim olmoq","learn, study",毎日しっかりと学ぶように努力しています。 (Har kuni astoydil o'rganmoqga intilaman.)
第11課 地域社会の中で,打つ,うつ,utsu,urmoq,hit,毎日しっかりと打つように努力しています。 (Har kuni astoydil urmoqga intilaman.)
第11課 地域社会の中で,投げる,なげる,nageru,"otmoq, tashlamoq",throw,毎日しっかりと投げるように努力しています。 (Har kuni astoydil otmoqga intilaman.)
第11課 地域社会の中で,折れる,おれる,oreru,"sinmoq, sindirilmoq",break,毎日しっかりと折れるように努力しています。 (Har kuni astoydil sinmoqga intilaman.)
第11課 地域社会の中で,持つ,もつ,motsu,"tutmoq, ega bo'lmoq","have, hold",毎日しっかりと持つように努力しています。 (Har kuni astoydil tutmoqga intilaman.)
第11課 地域社会の中で,故障・する,こしょう・する,koshou-suru,"buzilmoq, ishdan chiqmoq","get out of order, break down",計画通りに故障を行いました。 (Rejaga muvofiq buzilmoqni amalga oshirdik.)
第11課 地域社会の中で,敬語,けいご,keigo,keigo (hurmat tili),respectful language,敬語の大切さを改めて実感しました。 (keigoning muhimligini yana bir bor his qildim.)
第11課 地域社会の中で,文化,ぶんか,bunka,madaniyat,culture,文化の大切さを改めて実感しました。 (madaniyatning muhimligini yana bir bor his qildim.)
第11課 地域社会の中で,機会,きかい,kikai,"imkoniyat, fursat","chance, opportunity",機会の大切さを改めて実感しました。 (imkoniyatning muhimligini yana bir bor his qildim.)
第11課 地域社会の中で,無理,むり,muri,haddan oshirmoq,"overdo, take something too far",無理の大切さを改めて実感しました。 (haddan oshirmoqning muhimligini yana bir bor his qildim.)
第11課 地域社会の中で,無理をする。,むりをする。,muriosuru,Haddan oshiraman.,overdo something,無理をする。 (Haddan oshiraman.)
第11課 地域社会の中で,物価,ぶっか,bukka,narx-navo,prices of commodities,物価の大切さを改めて実感しました。 (narx-navoning muhimligini yana bir bor his qildim.)
第11課 地域社会の中で,研究・する,けんきゅう・する,kenkyuu-suru,"tadqiqot qilmoq, ilmiy ish olib bormoq",research,計画通りに研究を行いました。 (Rejaga muvofiq tadqiqot qilmoqni amalga oshirdik.)
第11課 地域社会の中で,節約・する,せつやく・する,setsuyaku-suru,"tejamoq, tejamkorlik qilmoq","economize, be thrifty",計画通りに節約を行いました。 (Rejaga muvofiq tejamoqni amalga oshirdik.)
第11課 地域社会の中で,育てる,そだてる,sodateru,"tarbiyalamoq, o'stirmoq (bolani)","raise (a child), bring up",育てると親しく話をしました。 (tarbiyalamoq bilan yaqindan suhbatlashdim.)
第11課 地域社会の中で,興味,きょうみ,kyoumi,qiziqish,about the future) interest,興味と親しく話をしました。 (qiziqish bilan yaqindan suhbatlashdim.)
第11課 地域社会の中で,興味を持つ。,きょうみをもつ。,kyoumiomotsu,Qiziqish bildiraman.,have an interest,興味を持つ。 (Qiziqish bildiraman.)
第11課 地域社会の中で,苦労,くろう,kurou,"mashaqqat, qiyinchilik","trouble, burden",苦労の大切さを改めて実感しました。 (mashaqqatning muhimligini yana bir bor his qildim.)
第11課 地域社会の中で,親しい,したしい,shitashii,"yaqin, samimiy","familiar, intimate","とても親しいので、気をつけてください。 (Juda yaqin bo'lgani uchun, ehtiyot bo'ling.)"
第11課 地域社会の中で,話しかける,はなしかける,hanashikakeru,gap boshlab murojaat qilmoq,"talk to, speak to",毎日しっかりと話しかけるように努力しています。 (Har kuni astoydil gap boshlab murojaat qilmoqga intilaman.)
第11課 地域社会の中で,駅前,えきまええきまえ,ekimaeekimae,bekat oldi,in front of the train station,駅前の大切さを改めて実感しました。 (bekat oldining muhimligini yana bir bor his qildim.)
第11課 地域社会の中で,～代（例：食事代）,～だい（れい：しょくじだい,~dairei：shokujidai,~ puli/xarajati (masalan: ovqat puli),"~ charges, ~ fees (example: dining charges)",食事代を確認しました。 (食事代ni tekshirib tasdiqladim.)
第11課 地域社会の中で,～君,～くん,~kun',~ (o'g'il bolalarga qo'shiladigan samimiy hurmat qo'shimchasi),(suffix for boy's names that indicates respect and familiarity),君と親しく話をしました。 (~ bilan yaqindan suhbatlashdim.)
第12課 私の健康法,うがい,うがい,ugai,tomog'ni chayqash,gargling,"とてもうがいので、気をつけてください。 (Juda tomog'ni chayqash bo'lgani uchun, ehtiyot bo'ling.)"
第12課 私の健康法,おにぎり,おにぎり,onigiri,onigiri (yapon guruchli sharcha),rice ball,新鮮なおにぎりを美味しくいただきました。 (Yangi onigirini mazza qilib tanovul qildik.)
第12課 私の健康法,このごろ,このごろ,konogoro,"shu kunlarda, oxirgi paytlarda","these days, nowadays",このごろの大切さを改めて実感しました。 (shu kunlardaning muhimligini yana bir bor his qildim.)
第12課 私の健康法,こる,こる,koru,qotib qolmoq (mushak),become stiff,毎日しっかりとこるように努力しています。 (Har kuni astoydil qotib qolmoqga intilaman.)
第12課 私の健康法,さす,さす,sasu,(soyabonni) tutmoq,hold over one's head,毎日しっかりとさすように努力しています。 (Har kuni astoydil ga intilaman.)
第12課 私の健康法,たまる,たまる,tamaru,to'planib qolmoq,build up,毎日しっかりとたまるように努力しています。 (Har kuni astoydil to'planib qolmoqga intilaman.)
第12課 私の健康法,やせる,やせる,yaseru,"ozmoq, ozib ketmoq","lose weight, become thin",毎日しっかりとやせるように努力しています。 (Har kuni astoydil ozmoqga intilaman.)
第12課 私の健康法,インスタント,インスタント,insutanto,tez tayyorlanadigan (insta),instant,インスタントの大切さを改めて実感しました。 (tez tayyorlanadiganning muhimligini yana bir bor his qildim.)
第12課 私の健康法,カロリー,カロリー,karorii,kaloriya,calorie,カロリーの大切さを改めて実感しました。 (kaloriyaning muhimligini yana bir bor his qildim.)
第12課 私の健康法,ガンガン,ガンガン,gangan',qattiq zirqirab og'rimoq (bosh),"pounding, throbbing (state where it feels as if the pain in your head is making a large sound)",ガンガンの大切さを改めて実感しました。 (qattiq zirqirab og'rimoqning muhimligini yana bir bor his qildim.)
第12課 私の健康法,グレープフルーツ,グレープフルーツ,gureepufuruutsu,greyfrut,grapefruit,グレープフルーツの大切さを改めて実感しました。 (greyfrutning muhimligini yana bir bor his qildim.)
第12課 私の健康法,ショウガ,ショウガ,shouga,zanjabil,ginger,ショウガの大切さを改めて実感しました。 (zanjabilning muhimligini yana bir bor his qildim.)
第12課 私の健康法,ジム,ジム,jimu,sport zali,"gym, gymnasium",ジムの大切さを改めて実感しました。 (sport zalining muhimligini yana bir bor his qildim.)
第12課 私の健康法,ジューサー,ジューサー,juusaa,sharbatqolg'ich (juicer),juicer,ジューサーの大切さを改めて実感しました。 (sharbatqolg'ichning muhimligini yana bir bor his qildim.)
第12課 私の健康法,ストレス,ストレス,sutoresu,stress,stress,ストレスの大切さを改めて実感しました。 (stressning muhimligini yana bir bor his qildim.)
第12課 私の健康法,ドレッシング,ドレッシング,doresshingu,salat sousi,dressing,ドレッシングの大切さを改めて実感しました。 (salat sousining muhimligini yana bir bor his qildim.)
第12課 私の健康法,ネックストレッチ,ネックストレッチ,nekkusutoretchi,bo'yin mashqi,neck stretch,ネックストレッチの大切さを改めて実感しました。 (bo'yin mashqining muhimligini yana bir bor his qildim.)
第12課 私の健康法,バランス,バランス,baransu,muvozanat,balance,バランスの大切さを改めて実感しました。 (muvozanatning muhimligini yana bir bor his qildim.)
第12課 私の健康法,パンパン,パンパン,panpan',tarang va shishgan (mushaklar),throbbing (state where if feels as if your muscles are being,パンパンの大切さを改めて実感しました。 (tarang va shishganning muhimligini yana bir bor his qildim.)
第12課 私の健康法,ビタミンＣ,ビタミンＣ,bitaminＣ,C vitamini,vitamin C,ビタミンＣの大切さを改めて実感しました。 (C vitaminining muhimligini yana bir bor his qildim.)
第12課 私の健康法,フラフラ,フラフラ,furafura,"holsiz, gangib turgan, hushsiz","groggy, dizzy, woozy (state where you cannot gather any power, are weary, or your body is",フラフラの大切さを改めて実感しました。 (holsizning muhimligini yana bir bor his qildim.)
第12課 私の健康法,フラフラする。,フラフラする。,furafurasuru,Holsizlanib turibman.,"swaying) ""I am groggy."" nauseous, queasy",フラフラする。 (Holsizlanib turibman.)
第12課 私の健康法,マッサージ・する,マッサージ・する,massaaji-suru,massaj qilmoq,massage,計画通りにマッサージを行いました。 (Rejaga muvofiq massaj qilmoqni amalga oshirdik.)
第12課 私の健康法,マッサージ器,マッサージき,massaajiki,massaj apparati,massage machine,マッサージ器の大切さを改めて実感しました。 (massaj apparatining muhimligini yana bir bor his qildim.)
第12課 私の健康法,ムカムカ,ムカムカ,mukamuka,ko'ngli ayniydigan holat,"(state where you feel like you are going to vomit due to overeating, overdrinking, or other",ムカムカの大切さを改めて実感しました。 (ko'ngli ayniydigan holatning muhimligini yana bir bor his qildim.)
第12課 私の健康法,万歩計,まんぽけい,manpokei,qadam hisoblagich,pedometer,万歩計の大切さを改めて実感しました。 (qadam hisoblagichning muhimligini yana bir bor his qildim.)
第12課 私の健康法,二日酔い,ふつかよい,futsukayoi,ichkilikdan keyingi holat (sindrom),hangover,"とても二日酔いので、気をつけてください。 (Juda ichkilikdan keyingi holat bo'lgani uchun, ehtiyot bo'ling.)"
第12課 私の健康法,体脂肪率,たいしぼうりつ,taishibouritsu,tana yog'i foizi,body fat percentage,体脂肪率の大切さを改めて実感しました。 (tana yog'i foizining muhimligini yana bir bor his qildim.)
第12課 私の健康法,体脂肪計,たいしぼうけい,taishiboukei,tana yog'i o'lchagich,body fat scale,体脂肪計の大切さを改めて実感しました。 (tana yog'i o'lchagichning muhimligini yana bir bor his qildim.)
第12課 私の健康法,健康,けんこう,kenkou,"sog'liq, salomatlik","health, fitness",健康の大切さを改めて実感しました。 (sog'liqning muhimligini yana bir bor his qildim.)
第12課 私の健康法,傘をさす。,かさをさす。,kasaosasu,Soyabon tutaman.,open an umbrella,傘をさす。 (Soyabon tutaman.)
第12課 私の健康法,元気,げんき,genki,"sog'lom, tetik, bardam","healthy, lively, spirited",元気の大切さを改めて実感しました。 (sog'lomning muhimligini yana bir bor his qildim.)
第12課 私の健康法,元気がない,げんきがない,genkiganai,"kayfiyati yo'q, tushkun","feel down, low-spirited","とても元気がないので、気をつけてください。 (Juda kayfiyati yo'q bo'lgani uchun, ehtiyot bo'ling.)"
第12課 私の健康法,入会・する,にゅうかい・する,nyuukai-suru,a'zo bo'lmoq,"join, become a member of a group",計画通りに入会を行いました。 (Rejaga muvofiq a'zo bo'lmoqni amalga oshirdik.)
第12課 私の健康法,冷える,ひえる,hieru,"sovqotmoq, sovub ketmoq","chill, get cold",毎日しっかりと冷えるように努力しています。 (Har kuni astoydil sovqotmoqga intilaman.)
第12課 私の健康法,冷凍・する,れいとう・する,reitou-suru,muzlatmoq,freeze,計画通りに冷凍を行いました。 (Rejaga muvofiq muzlatmoqni amalga oshirdik.)
第12課 私の健康法,動かす,うごかす,ugokasu,harakatlantirmoq,"move, set in motion",毎日しっかりと動かすように努力しています。 (Har kuni astoydil harakatlantirmoqga intilaman.)
第12課 私の健康法,取る,とる,toru,"yo'qotmoq, ketkazmoq","break free from, relieve",毎日しっかりと取るように努力しています。 (Har kuni astoydil yo'qotmoqga intilaman.)
第12課 私の健康法,取れる,とれる,toreru,"yo'qolmoq, ketmoq (og'riq)","relieve, break free from",毎日しっかりと取れるように努力しています。 (Har kuni astoydil yo'qolmoqga intilaman.)
第12課 私の健康法,方法,ほうほう,houhou,"usul, yo'l","method, technique, way of doing something",方法の大切さを改めて実感しました。 (usulning muhimligini yana bir bor his qildim.)
第12課 私の健康法,栄養,えいよう,eiyou,"ozuqa, oziq moddalar",nutrition,栄養の大切さを改めて実感しました。 (ozuqaning muhimligini yana bir bor his qildim.)
第12課 私の健康法,残す,のこす,nokosu,qoldirmoq,"leave, save",毎日しっかりと残すように努力しています。 (Har kuni astoydil qoldirmoqga intilaman.)
第12課 私の健康法,残る,のこる,nokoru,qolmoq,be left remaining,毎日しっかりと残るように努力しています。 (Har kuni astoydil qolmoqga intilaman.)
第12課 私の健康法,氷,こおり,koori,muz,ice,氷の大切さを改めて実感しました。 (muzning muhimligini yana bir bor his qildim.)
第12課 私の健康法,温める,あたためる,atatameru,isitmoq,warm,毎日しっかりと温めるように努力しています。 (Har kuni astoydil isitmoqga intilaman.)
第12課 私の健康法,測る,はかる,hakaru,o'lchamoq,measure,毎日しっかりと測るように努力しています。 (Har kuni astoydil o'lchamoqga intilaman.)
第12課 私の健康法,湿布,しっぷ,shippu,nam kompress (og'riqqa),cold (hot) compress,湿布の大切さを改めて実感しました。 (nam kompressning muhimligini yana bir bor his qildim.)
第12課 私の健康法,疲れ,つかれ,tsukare,charchoq,"fatigue, tiredness",疲れの大切さを改めて実感しました。 (charchoqning muhimligini yana bir bor his qildim.)
第12課 私の健康法,疲れを取る。,つかれをとる。,tsukareotoru,Charchoqni chiqaraman.,relieve one's fatigue,疲れを取る。 (Charchoqni chiqaraman.)
第12課 私の健康法,痛み,いたみ,itami,og'riq,pain,痛みの大切さを改めて実感しました。 (og'riqning muhimligini yana bir bor his qildim.)
第12課 私の健康法,眠る,ねむる,nemuru,uxlamoq,sleep,毎日しっかりと眠るように努力しています。 (Har kuni astoydil uxlamoqga intilaman.)
第12課 私の健康法,肩,かた,kata,yelka,shoulder,肩の大切さを改めて実感しました。 (yelkaning muhimligini yana bir bor his qildim.)
第12課 私の健康法,胃,い,i,oshqozon,stomach,胃の大切さを改めて実感しました。 (oshqozonning muhimligini yana bir bor his qildim.)
第12課 私の健康法,胃がムカムカする。,いがムカムカする。,igamukamukasuru,Oshqozonim ayniyapti.,"cause) ""I feel sick to my stomach.""",胃がムカムカする。 (Oshqozonim ayniyapti.)
第12課 私の健康法,虫歯,むしば,mushiba,tish kariyesi,(tooth) cavity,虫歯の大切さを改めて実感しました。 (tish kariyesining muhimligini yana bir bor his qildim.)
第12課 私の健康法,計算・する,けいさん・する,keisan-suru,hisoblamoq,calculate,計画通りに計算を行いました。 (Rejaga muvofiq hisoblamoqni amalga oshirdik.)
第12課 私の健康法,足がパンパンだ。,あしがパンパンだ。,ashigapanpanda,Oyoqlarim shishib ketdi.,"stretched tightly) ""My legs are throbbing.""",足がパンパンだ。 (Oyoqlarim shishib ketdi.)
第12課 私の健康法,酔う,よう,you,mast bo'lmoq; ko'ngli aynimoq,"get drunk, feel sick (at the stomach)",毎日しっかりと酔うように努力しています。 (Har kuni astoydil mast bo'lmoqga intilaman.)
第12課 私の健康法,頭がガンガンする。,あたまがガンガンする。,atamagagangansuru,Boshim zirqirab og'riyapti.,"""I have a pounding headache.""",頭がガンガンする。 (Boshim zirqirab og'riyapti.)
第12課 私の健康法,食品,しょくひん,shokuhin',oziq-ovqat,food,新鮮な食品を美味しくいただきました。 (Yangi oziq-ovqatni mazza qilib tanovul qildik.)
第12課 私の健康法,首,くび,kubi,bo'yin,neck,首の大切さを改めて実感しました。 (bo'yinning muhimligini yana bir bor his qildim.)
第12課 私の健康法,～不足（例：運動不足）,～ぶそく（そくれい：うんどうぶそく,~busokusokurei：undoubusoku,~ yetishmasligi (masalan: harakat yetishmasligi),"deficiency in ~, not enough ~ (example: not enough exercise)",運動不足を確認しました。 (運動不足ni tekshirib tasdiqladim.)
第12課 私の健康法,～金（例：入会金）,～きん（れい：にゅうかいきん,~kinrei：nyuukaikin',~ to'lovi (masalan: a'zolik to'lovi),"~ fee, ~ charge (example: admission fee)",入会金を確認しました。 (入会金ni tekshirib tasdiqladim.)
第13課 親の気持ち・子の気持ち,うち,うち,uchi,"men, biz (uy)","I, me",うちの大切さを改めて実感しました。 (menning muhimligini yana bir bor his qildim.)
第13課 親の気持ち・子の気持ち,うちの親,うちのおや,uchinooya,mening ota-onam,my parents,うちの親と親しく話をしました。 (mening ota-onam bilan yaqindan suhbatlashdim.)
第13課 親の気持ち・子の気持ち,うれしい,うれしい,ureshii,"xursand, quvnoq","happy, glad","とてもうれしいので、気をつけてください。 (Juda xursand bo'lgani uchun, ehtiyot bo'ling.)"
第13課 親の気持ち・子の気持ち,えらい,えらい,erai,"zo'r, ajoyib, maqtovga loyiq","great, excellent, well done",えらいの場所を地図で調べました。 (zo'rning manzilini xaritadan qidirdim.)
第13課 親の気持ち・子の気持ち,おもちゃ,おもちゃ,omocha,o'yinchoq,toy,おもちゃの大切さを改めて実感しました。 (o'yinchoqning muhimligini yana bir bor his qildim.)
第13課 親の気持ち・子の気持ち,けんか・する,けんか・する,kenka-suru,"urishmoq, janjallashmoq",argue,計画通りにけんかを行いました。 (Rejaga muvofiq urishmoqni amalga oshirdik.)
第13課 親の気持ち・子の気持ち,この間,このあいだ,konoaida,"o'tgan kuni, yaqinda","the other day, during this time",この間の大切さを改めて実感しました。 (o'tgan kunining muhimligini yana bir bor his qildim.)
第13課 親の気持ち・子の気持ち,ころ,ころ,koro,~ paytlarida (masalan: bolaligimda),when I was ~,ころと親しく話をしました。 (~ paytlarida bilan yaqindan suhbatlashdim.)
第13課 親の気持ち・子の気持ち,ちゃんと,ちゃんと,chanto,"to'g'ri, yaxshilab",properly,ちゃんとの大切さを改めて実感しました。 (to'g'rining muhimligini yana bir bor his qildim.)
第13課 親の気持ち・子の気持ち,やっぱり,やっぱり,yappari,"oxir-oqibat, kutganimdek",after all,やっぱりの大切さを改めて実感しました。 (oxir-oqibatning muhimligini yana bir bor his qildim.)
第13課 親の気持ち・子の気持ち,やる,やる,yaru,"qilmoq, bajarmoq",do,毎日しっかりとやるように努力しています。 (Har kuni astoydil qilmoqga intilaman.)
第13課 親の気持ち・子の気持ち,ゲームセンター,ゲームセンター,geemusentaa,o'yin markazi (arkada),game center,ゲームセンターの場所を地図で調べました。 (o'yin markazining manzilini xaritadan qidirdim.)
第13課 親の気持ち・子の気持ち,コーチ,コーチ,koochi,murabbiy,coach,コーチの大切さを改めて実感しました。 (murabbiyning muhimligini yana bir bor his qildim.)
第13課 親の気持ち・子の気持ち,不利（な）,ふり（な）,furina,"noqulay, zararli",disadvantageous,この方法はとても不利だと思います。 (Bu usul juda noqulay deb hisoblayman.)
第13課 親の気持ち・子の気持ち,世話・する,せわ・する,sewa-suru,"g'amxo'rlik qilmoq, qaramoq",take care of,計画通りに世話を行いました。 (Rejaga muvofiq g'amxo'rlik qilmoqni amalga oshirdik.)
第13課 親の気持ち・子の気持ち,仕方がない,しかたがない,shikataganai,"iloj yo'q, boshqa chora qolmadi","no choice, have no alternative","とても仕方がないので、気をつけてください。 (Juda iloj yo'q bo'lgani uchun, ehtiyot bo'ling.)"
第13課 親の気持ち・子の気持ち,何でも,なんでも,nandemo,"hamma narsa, nima bo'lsa ham",anything,何でもの大切さを改めて実感しました。 (hamma narsaning muhimligini yana bir bor his qildim.)
第13課 親の気持ち・子の気持ち,僕,ぼく,boku,"men (norasmiy, asosan yigitlar ishlatadi)","I, me (informal, used primarily by young men)",僕と親しく話をしました。 (men bilan yaqindan suhbatlashdim.)
第13課 親の気持ち・子の気持ち,化粧品,けしょうひん,keshouhin',kosmetika,cosmetics,化粧品の大切さを改めて実感しました。 (kosmetikaning muhimligini yana bir bor his qildim.)
第13課 親の気持ち・子の気持ち,厳しい,きびしい,kibishii,"qattiqqo'l, talabchan","strict, severe","とても厳しいので、気をつけてください。 (Juda qattiqqo'l bo'lgani uchun, ehtiyot bo'ling.)"
第13課 親の気持ち・子の気持ち,塾,じゅく,juku,repetitorlik o'quv markazi,after-school cram school,塾の場所を地図で調べました。 (repetitorlik o'quv markazining manzilini xaritadan qidirdim.)
第13課 親の気持ち・子の気持ち,夜遅く,よるおそく,yoruosoku,kechqurun kech,late at night,毎日しっかりと夜遅くように努力しています。 (Har kuni astoydil kechqurun kechga intilaman.)
第13課 親の気持ち・子の気持ち,子ども,こども,kodomo,bola,"child, kid",子どもと親しく話をしました。 (bola bilan yaqindan suhbatlashdim.)
第13課 親の気持ち・子の気持ち,家事,かじ,kaji,uy ishlari,housework,家事の大切さを改めて実感しました。 (uy ishlarining muhimligini yana bir bor his qildim.)
第13課 親の気持ち・子の気持ち,宿題をやる。,しゅくだいをやる。,shukudaioyaru,Uy vazifasini qilaman.,do my homework,宿題をやる。 (Uy vazifasini qilaman.)
第13課 親の気持ち・子の気持ち,役に立つ,やくにたつ,yakunitatsu,"foydali bo'lmoq, asqatmoq",be useful,毎日しっかりと役に立つように努力しています。 (Har kuni astoydil foydali bo'lmoqga intilaman.)
第13課 親の気持ち・子の気持ち,必ず,かならず,kanarazu,"albatta, shartsiz","by all means, certainly",必ずの大切さを改めて実感しました。 (albattaning muhimligini yana bir bor his qildim.)
第13課 親の気持ち・子の気持ち,手に入れる,てにいれる,teniireru,"qo'lga kiritmoq, ega bo'lmoq","obtain, acquire",毎日しっかりと手に入れるように努力しています。 (Har kuni astoydil qo'lga kiritmoqga intilaman.)
第13課 親の気持ち・子の気持ち,教育,きょういく,kyouiku,ta'lim,education,教育の大切さを改めて実感しました。 (ta'limning muhimligini yana bir bor his qildim.)
第13課 親の気持ち・子の気持ち,数学,すうがく,suugaku,matematika,"mathematics, math",数学の大切さを改めて実感しました。 (matematikaning muhimligini yana bir bor his qildim.)
第13課 親の気持ち・子の気持ち,曲,きょく,kyoku,"qo'shiq, kuy",song track,曲の大切さを改めて実感しました。 (qo'shiqning muhimligini yana bir bor his qildim.)
